zipcode,state,county_code,name,rate_area
36749,AL,01001,Autauga,11
36703,AL,01001,Autauga,11
36003,AL,01001,Autauga,11
36008,AL,01001,Autauga,11
36006,AL,01001,Autauga,11
36022,AL,01001,Autauga,11
36051,AL,01001,Autauga,11
36091,AL,01001,Autauga,11
36068,AL,01001,Autauga,11
36067,AL,01001,Autauga,11
36758,AL,01001,Autauga,11
36066,AL,01001,Autauga,11
36562,AL,01003,Baldwin,13
36561,AL,01003,Baldwin,13
36530,AL,01003,Baldwin,13
36507,AL,01003,Baldwin,13
36502,AL,01003,Baldwin,13
36577,AL,01003,Baldwin,13
36567,AL,01003,Baldwin,13
36564,AL,01003,Baldwin,13
36576,AL,01003,Baldwin,13
36574,AL,01003,Baldwin,13
36579,AL,01003,Baldwin,13
36578,AL,01003,Baldwin,13
36580,AL,01003,Baldwin,13
36527,AL,01003,Baldwin,13
36533,AL,01003,Baldwin,13
36532,AL,01003,Baldwin,13
36551,AL,01003,Baldwin,13
36535,AL,01003,Baldwin,13
36536,AL,01003,Baldwin,13
36542,AL,01003,Baldwin,13
36550,AL,01003,Baldwin,13
36526,AL,01003,Baldwin,13
36559,AL,01003,Baldwin,13
36547,AL,01003,Baldwin,13
36511,AL,01003,Baldwin,13
36555,AL,01003,Baldwin,13
36549,AL,01003,Baldwin,13
36374,AL,01005,Barbour,13
36005,AL,01005,Barbour,13
36017,AL,01005,Barbour,13
36016,AL,01005,Barbour,13
36027,AL,01005,Barbour,13
36048,AL,01005,Barbour,13
36072,AL,01005,Barbour,13
36053,AL,01005,Barbour,13
36311,AL,01005,Barbour,13
36317,AL,01005,Barbour,13
35074,AL,01007,Bibb,3
35111,AL,01007,Bibb,3
35115,AL,01007,Bibb,3
36750,AL,01007,Bibb,3
36792,AL,01007,Bibb,3
36793,AL,01007,Bibb,3
35456,AL,01007,Bibb,3
35034,AL,01007,Bibb,3
35035,AL,01007,Bibb,3
35042,AL,01007,Bibb,3
35184,AL,01007,Bibb,3
35188,AL,01007,Bibb,3
35097,AL,01009,Blount,3
35079,AL,01009,Blount,3
35121,AL,01009,Blount,3
35126,AL,01009,Blount,3
35133,AL,01009,Blount,3
35146,AL,01009,Blount,3
